region,crop,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,mean_production
06 Jnkping county,oats,3460.0,4390.0,3700.0,3780.0,2350.0,3400.0,4090.0,3250.0,3900.0,2960.0,3528.0
06 Jnkping county,temporary grasses,4920.0,5090.0,4580.0,5890.0,3730.0,5820.0,5450.0,6230.0,5330.0,5490.0,5253.0
06 Jnkping county,temporary grasses. First cut,2800.0,2840.0,2570.0,3360.0,2210.0,3810.0,3100.0,3360.0,3300.0,2060.0,2941.0
06 Jnkping county,temporary grasses. Re-growth,2120.0,2250.0,2010.0,2540.0,1520.0,2010.0,2350.0,2870.0,2020.0,3430.0,2312.0
07 Kronoberg county,spring barley,3810.0,4340.0,4260.0,3930.0,2700.0,4300.0,4270.0,3160.0,4760.0,2690.0,3822.0
07 Kronoberg county,oats,4070.0,4800.0,4310.0,3920.0,2580.0,3980.0,4050.0,2970.0,3820.0,3160.0,3766.0
07 Kronoberg county,temporary grasses,5510.0,4940.0,4730.0,5720.0,4070.0,6210.0,5540.0,5210.0,4230.0,5360.0,5152.0
07 Kronoberg county,temporary grasses. First cut,3160.0,3260.0,2990.0,3040.0,2660.0,3360.0,2810.0,2800.0,2720.0,2200.0,2900.0
07 Kronoberg county,temporary grasses. Re-growth,2350.0,1690.0,1740.0,2680.0,1420.0,2850.0,2730.0,2410.0,2337.0,3160.0,2337.0
08 Kalmar county,winter wheat,7100.0,7650.0,6850.0,6850.0,4680.0,6650.0,7160.0,5520.0,6270.0,6010.0,6474.0
08 Kalmar county,spring wheat,4230.0,4680.0,4350.0,4740.0,2450.0,3620.0,4150.0,3060.0,3550.0,2530.0,3736.0
08 Kalmar county,winter barley,6500.0,5950.0,6140.0,5710.0,3480.0,6580.0,6570.0,5050.0,5250.0,5170.0,5640.0
08 Kalmar county,spring barley,4620.0,4920.0,4650.0,4640.0,2270.0,3710.0,4380.0,2750.0,3630.0,2970.0,3854.0
08 Kalmar county,oats,3780.0,4720.0,4090.0,3190.0,1870.0,3270.0,5040.0,2400.0,3200.0,3050.0,3461.0
08 Kalmar county,Winter triticale,5450.0,5650.0,6090.0,5010.0,3490.0,5660.0,5900.0,4350.0,4870.0,4160.0,5063.0
08 Kalmar county,peas,3930.0,3760.0,4130.0,3700.0,2380.0,3430.0,3720.0,2890.0,2960.0,3090.0,3399.0
08 Kalmar county,potatoes for processing of starch,46870.0,42760.0,43600.0,47940.0,31350.0,40170.0,42150.0,40290.0,37060.0,44240.0,41643.0
08 Kalmar county,winter rape,3820.0,4220.0,3460.0,3210.0,2950.0,2880.0,3560.0,3040.0,3120.0,2480.0,3274.0
08 Kalmar county,temporary grasses,4420.0,5290.0,5840.0,6250.0,3920.0,5590.0,6270.0,5550.0,4260.0,5040.0,5243.0
08 Kalmar county,temporary grasses. First cut,2230.0,3010.0,3560.0,2910.0,2670.0,3860.0,3610.0,3450.0,3240.0,2060.0,3060.0
08 Kalmar county,temporary grasses. Re-growth,2180.0,2280.0,2280.0,3340.0,1260.0,1730.0,2660.0,2100.0,1010.0,2990.0,2183.0
09 Gotland county,winter wheat,6040.0,7310.0,6480.0,6350.0,3290.0,6190.0,6320.0,4660.0,6070.0,4370.0,5708.0
09 Gotland county,spring wheat,4090.0,4680.0,4430.0,4250.0,2460.0,3710.0,4390.0,2750.0,4210.0,3290.0,3826.0
09 Gotland county,rye,4150.0,4620.0,4576.0,5170.0,4576.0,5470.0,5360.0,3620.0,4710.0,3510.0,4576.0
09 Gotland county,winter barley,5610.0,5730.0,6170.0,6050.0,2760.0,5860.0,6260.0,3970.0,5660.0,4230.0,5230.0
09 Gotland county,spring barley,4320.0,5060.0,4360.0,4460.0,1980.0,4160.0,4790.0,2840.0,4200.0,2530.0,3870.0
09 Gotland county,oats,3400.0,3480.0,3440.0,2710.0,1590.0,3260.0,3270.0,2120.0,3880.0,1950.0,2910.0
09 Gotland county,peas,3550.0,4260.0,4030.0,3790.0,1900.0,3420.0,3560.0,2690.0,3350.0,2480.0,3303.0
09 Gotland county,table potatoes,31960.0,31790.0,33320.0,30830.0,25560.0,30630.0,29460.0,31860.0,30737.0,31220.0,30737.0
09 Gotland county,winter rape,3200.0,4080.0,3010.0,2890.0,1280.0,2570.0,2730.0,2550.0,2960.0,1480.0,2675.0
09 Gotland county,spring rape,1940.0,2460.0,1800.0,2030.0,1810.0,2030.0,2030.0,2090.0,2290.0,1820.0,2030.0
09 Gotland county,temporary grasses,6080.0,5440.0,5590.0,5300.0,4500.0,4280.0,4030.0,5440.0,5000.0,4200.0,4986.0
09 Gotland county,temporary grasses. First cut,3570.0,3800.0,3420.0,3260.0,2650.0,2960.0,2590.0,3390.0,3760.0,2470.0,3187.0
09 Gotland county,temporary grasses. Re-growth,2510.0,1640.0,2180.0,2050.0,1850.0,1320.0,1430.0,2050.0,1240.0,1730.0,1800.0
10 Blekinge county,winter wheat,7260.0,7760.0,7100.0,7200.0,4640.0,7560.0,7700.0,6470.0,7750.0,6370.0,6981.0
10 Blekinge county,spring wheat,6760.0,6590.0,5999.0,6790.0,3740.0,6490.0,6500.0,5120.0,5999.0,5999.0,5999.0
10 Blekinge county,spring barley,4720.0,4980.0,4550.0,4910.0,2950.0,4770.0,5450.0,3950.0,5110.0,3640.0,4503.0
10 Blekinge county,potatoes for processing of starch,42100.0,40260.0,44660.0,42680.0,31350.0,41580.0,41930.0,41240.0,40590.0,43080.0,40947.0
10 Blekinge county,sugar beets,69800.0,48400.0,58900.0,62500.0,50300.0,67100.0,66900.0,71200.0,64200.0,58000.0,61730.0
10 Blekinge county,winter rape,3970.0,4200.0,3580.0,3540.0,2550.0,2930.0,3520.0,3260.0,3570.0,2520.0,3364.0
12 Skne county,winter wheat,8410.0,8430.0,7670.0,8520.0,5010.0,8820.0,8310.0,7500.0,8890.0,6690.0,7825.0
12 Skne county,spring wheat,5820.0,6450.0,4760.0,5400.0,2840.0,5880.0,5740.0,4510.0,6430.0,3730.0,5156.0
12 Skne county,rye,7350.0,6730.0,6540.0,7240.0,4730.0,7430.0,6770.0,5800.0,7360.0,5530.0,6548.0
12 Skne county,winter barley,6870.0,6240.0,6090.0,7020.0,4250.0,7610.0,6800.0,6030.0,7570.0,5710.0,6419.0
12 Skne county,spring barley,5950.0,6720.0,5400.0,6560.0,3200.0,6610.0,6430.0,5180.0,7330.0,3900.0,5728.0
12 Skne county,oats,4950.0,5950.0,4570.0,5060.0,2560.0,5340.0,5590.0,4370.0,6000.0,3230.0,4762.0
12 Skne county,Winter triticale,6590.0,6190.0,5770.0,6780.0,4340.0,6960.0,6100.0,5620.0,6650.0,4640.0,5964.0
12 Skne county,peas,3453.0,4550.0,3660.0,4130.0,2280.0,3350.0,3950.0,2900.0,4400.0,1860.0,3453.0
12 Skne county,field beans,3500.0,4420.0,3630.0,4610.0,1520.0,3980.0,3480.0,2650.0,4370.0,2500.0,3466.0
12 Skne county,corn,7060.0,7021.0,7930.0,7510.0,4090.0,7020.0,6270.0,8550.0,6550.0,8210.0,7021.0
12 Skne county,table potatoes,31550.0,33130.0,32370.0,31400.0,29090.0,33360.0,33310.0,31220.0,33740.0,33120.0,32229.0
12 Skne county,potatoes for processing of starch,44620.0,44910.0,45610.0,43110.0,36380.0,42930.0,43660.0,42800.0,42160.0,43760.0,42994.0
12 Skne county,sugar beets,73600.0,61100.0,65200.0,63400.0,55400.0,74800.0,68200.0,71700.0,64800.0,60600.0,65880.0
12 Skne county,winter rape,3830.0,3910.0,2880.0,3500.0,2500.0,4350.0,3690.0,3480.0,4040.0,2330.0,3451.0
12 Skne county,temporary grasses,6140.0,5540.0,5360.0,6910.0,4190.0,6510.0,7200.0,6880.0,5550.0,6040.0,6032.0
12 Skne county,temporary grasses. First cut,3550.0,3470.0,2930.0,3640.0,2280.0,3790.0,3590.0,3600.0,3560.0,2390.0,3280.0
12 Skne county,temporary grasses. Re-growth,2590.0,2080.0,2440.0,3280.0,1910.0,2720.0,3610.0,3270.0,1990.0,3650.0,2754.0
13 Halland county,winter wheat,7240.0,7360.0,6200.0,7340.0,3960.0,7730.0,7460.0,6490.0,7220.0,6250.0,6725.0
13 Halland county,spring wheat,5040.0,5610.0,4530.0,4790.0,3250.0,4960.0,5260.0,4300.0,5300.0,3210.0,4625.0
13 Halland county,winter barley,5609.0,5609.0,4350.0,6510.0,5609.0,6760.0,5410.0,5080.0,5910.0,5240.0,5609.0
13 Halland county,spring barley,5430.0,5720.0,4540.0,5500.0,3030.0,5430.0,5290.0,3830.0,5910.0,3510.0,4819.0
13 Halland county,oats,5060.0,5190.0,4610.0,4950.0,2570.0,5120.0,5390.0,3590.0,5830.0,3550.0,4586.0
13 Halland county,Winter triticale,6480.0,6190.0,5570.0,6540.0,3970.0,6910.0,6160.0,5450.0,6010.0,3320.0,5660.0
13 Halland county,field beans,3231.0,4130.0,3120.0,4100.0,1610.0,3190.0,3120.0,2800.0,4220.0,2790.0,3231.0
13 Halland county,table potatoes,37830.0,38340.0,38550.0,32610.0,35110.0,39280.0,39060.0,38520.0,41190.0,35350.0,37584.0
13 Halland county,sugar beets,69900.0,54600.0,58100.0,56700.0,55400.0,74700.0,66300.0,65800.0,62100.0,63300.0,62690.0
13 Halland county,winter rape,3740.0,3850.0,2990.0,3720.0,1880.0,3920.0,2950.0,3160.0,3530.0,2890.0,3263.0
13 Halland county,temporary grasses,6850.0,6730.0,7010.0,6480.0,4420.0,7840.0,6570.0,7850.0,6890.0,6130.0,6677.0
13 Halland county,temporary grasses. First cut,3190.0,3170.0,3330.0,3420.0,2460.0,4240.0,3060.0,3720.0,4050.0,2190.0,3283.0
13 Halland county,temporary grasses. Re-growth,3660.0,3570.0,3680.0,3060.0,1960.0,3590.0,3510.0,4130.0,2850.0,3940.0,3395.0
14 Vstra Gtaland county,winter wheat,6830.0,7350.0,6060.0,7610.0,5430.0,7990.0,6990.0,6600.0,7580.0,6540.0,6898.0
14 Vstra Gtaland county,spring wheat,3970.0,4030.0,4260.0,4130.0,3170.0,4170.0,4000.0,3170.0,4650.0,2630.0,3818.0
14 Vstra Gtaland county,rye,5730.0,6180.0,5690.0,6130.0,4330.0,6510.0,5880.0,6150.0,6400.0,5570.0,5857.0
14 Vstra Gtaland county,winter barley,7050.0,6450.0,4810.0,6400.0,3970.0,6810.0,6060.0,6400.0,6530.0,6100.0,6058.0
14 Vstra Gtaland county,spring barley,4720.0,4810.0,4940.0,5280.0,3800.0,5490.0,4960.0,3840.0,5490.0,3610.0,4694.0
14 Vstra Gtaland county,oats,4400.0,4650.0,4870.0,4770.0,3040.0,4960.0,4610.0,3470.0,5040.0,3180.0,4299.0
14 Vstra Gtaland county,Winter triticale,5740.0,5820.0,4880.0,6080.0,4660.0,6790.0,5910.0,5920.0,6390.0,4960.0,5715.0
14 Vstra Gtaland county,mixed grain,3260.0,3770.0,3960.0,3790.0,2550.0,3620.0,4000.0,3310.0,4170.0,3160.0,3559.0
14 Vstra Gtaland county,peas,2950.0,3310.0,3530.0,3450.0,2390.0,3300.0,3010.0,2550.0,3660.0,2720.0,3087.0
14 Vstra Gtaland county,field beans,3610.0,3940.0,3700.0,3560.0,1290.0,3160.0,2800.0,2290.0,3650.0,2600.0,3060.0
14 Vstra Gtaland county,table potatoes,32250.0,32350.0,33540.0,33110.0,25210.0,32750.0,32970.0,30790.0,33610.0,32780.0,31936.0
14 Vstra Gtaland county,winter rape,3900.0,4090.0,2930.0,3640.0,2630.0,3710.0,3440.0,3700.0,3540.0,3370.0,3495.0
14 Vstra Gtaland county,temporary grasses,5290.0,6110.0,5180.0,5470.0,4390.0,5970.0,5710.0,5430.0,5400.0,5570.0,5452.0
14 Vstra Gtaland county,temporary grasses. First cut,2860.0,3690.0,2790.0,3170.0,2480.0,3390.0,2940.0,3050.0,3010.0,2270.0,2965.0
14 Vstra Gtaland county,temporary grasses. Re-growth,2430.0,2430.0,2390.0,2300.0,1910.0,2580.0,2760.0,2380.0,2390.0,3300.0,2487.0
17 Vrmland county,winter wheat,6140.0,6840.0,5380.0,6430.0,3620.0,7160.0,6340.0,4670.0,5690.0,5600.0,5787.0
17 Vrmland county,spring wheat,4050.0,4680.0,4350.0,4190.0,2110.0,4610.0,4020.0,4300.0,4510.0,3090.0,3991.0
17 Vrmland county,spring barley,3650.0,4130.0,4340.0,4440.0,2280.0,4860.0,4250.0,3420.0,4480.0,2770.0,3862.0
17 Vrmland county,oats,3260.0,4330.0,4050.0,3830.0,1810.0,4530.0,3980.0,2990.0,4210.0,3040.0,3603.0
17 Vrmland county,temporary grasses,3890.0,3390.0,4260.0,3990.0,2830.0,5530.0,4390.0,4850.0,4310.0,2960.0,4040.0
17 Vrmland county,temporary grasses. First cut,2620.0,2500.0,2840.0,2710.0,1900.0,3780.0,2850.0,3150.0,2930.0,1700.0,2698.0
17 Vrmland county,temporary grasses. Re-growth,1270.0,890.0,1420.0,1290.0,930.0,1750.0,1530.0,1700.0,1380.0,1260.0,1342.0
18 rebro county,winter wheat,6800.0,6910.0,6430.0,7010.0,4980.0,7710.0,7380.0,6170.0,6570.0,5540.0,6550.0
18 rebro county,spring wheat,4970.0,5620.0,5170.0,5140.0,3190.0,5570.0,5420.0,4200.0,5460.0,3410.0,4815.0
18 rebro county,spring barley,4480.0,4960.0,4980.0,5610.0,3070.0,5570.0,5050.0,3460.0,4960.0,2870.0,4501.0
18 rebro county,oats,4490.0,4800.0,4480.0,4820.0,2380.0,5350.0,4800.0,3270.0,4600.0,2790.0,4178.0
18 rebro county,peas,3350.0,3460.0,3510.0,3330.0,2620.0,3430.0,3010.0,2210.0,3630.0,2060.0,3061.0
18 rebro county,table potatoes,28050.0,28430.0,33370.0,33630.0,27600.0,36740.0,36440.0,28110.0,37740.0,26580.0,31669.0
18 rebro county,winter rape,3350.0,3800.0,3350.0,3790.0,2550.0,3750.0,3350.0,3220.0,2860.0,2920.0,3294.0
18 rebro county,temporary grasses,4940.0,4330.0,4900.0,5040.0,3870.0,4390.0,4550.0,4240.0,4730.0,4210.0,4520.0
18 rebro county,temporary grasses. First cut,3260.0,2610.0,2880.0,3120.0,2140.0,2760.0,2920.0,2780.0,2950.0,1890.0,2731.0
19 Vstmanland county,winter wheat,6520.0,7090.0,5680.0,6280.0,3490.0,6880.0,6770.0,5930.0,5930.0,3510.0,5808.0
19 Vstmanland county,spring wheat,4750.0,5420.0,4800.0,5000.0,2170.0,4540.0,4660.0,3370.0,4800.0,1720.0,4123.0
19 Vstmanland county,spring barley,4660.0,5090.0,4680.0,5670.0,2820.0,5090.0,4780.0,2860.0,5120.0,1980.0,4275.0
19 Vstmanland county,oats,3910.0,4810.0,4330.0,4750.0,2160.0,4890.0,4450.0,2970.0,4680.0,2370.0,3932.0
19 Vstmanland county,peas,2700.0,3480.0,3140.0,3060.0,2230.0,2880.0,2750.0,2020.0,3640.0,1250.0,2715.0
19 Vstmanland county,field beans,3080.0,4160.0,3600.0,2700.0,2949.0,3520.0,2830.0,1940.0,3020.0,1690.0,2949.0
19 Vstmanland county,winter rape,3240.0,3120.0,2600.0,3310.0,1360.0,2540.0,3530.0,2850.0,1520.0,1470.0,2554.0
19 Vstmanland county,spring rape,1780.0,1959.0,2310.0,2150.0,1570.0,1959.0,1970.0,1540.0,2590.0,1760.0,1959.0
